id,word,n,tf,idf,tf_idf
333,disappeared,1,0.3333333333333333,4.0661736852554045,1.3553912284184682
2,logs,1,0.3333333333333333,3.912023005428146,1.3040076684760487
2,randomly,1,0.3333333333333333,3.912023005428146,1.3040076684760487
116,crashing,1,0.3333333333333333,3.912023005428146,1.3040076684760487
258,wrong,1,0.3333333333333333,3.66070857714724,1.2202361923824132
154,insomnia,1,0.3333333333333333,3.4600378816850887,1.1533459605616962
333,order,1,0.3333333333333333,3.4600378816850887,1.1533459605616962
58,save,1,0.25,4.471638793363569,1.1179096983408923
265,response,1,0.25,4.471638793363569,1.1179096983408923
154,worsening,1,0.3333333333333333,3.2929837970219227,1.0976612656739742
258,address,1,0.3333333333333333,3.1498829533812494,1.0499609844604163
333,prescription,1,0.3333333333333333,2.913494175317019,0.971164725105673
116,keeps,1,0.3333333333333333,2.8622008809294686,0.9540669603098229
58,changes,1,0.25,3.7784916128036232,0.9446229032009058
58,profile,1,0.25,3.7784916128036232,0.9446229032009058
258,still,1,0.3333333333333333,2.8134107167600364,0.9378035722533454
265,request,1,0.25,3.66070857714724,0.91517714428681
284,getting,1,0.25,3.66070857714724,0.91517714428681
298,migraine,1,0.25,3.66070857714724,0.91517714428681
58,won,1,0.25,3.5553480614894135,0.8888370153723534
298,recently,1,0.25,3.5553480614894135,0.8888370153723534
284,error,1,0.25,3.4600378816850887,0.8650094704212722
284,keep,1,0.25,3.4600378816850887,0.8650094704212722
284,message,1,0.25,3.4600378816850887,0.8650094704212722
140,constant,1,0.25,3.373026504695459,0.8432566261738648
140,tightness,1,0.25,3.2929837970219227,0.8232459492554807
197,worsening,1,0.25,3.2929837970219227,0.8232459492554807
196,send,1,0.2,4.0661736852554045,0.813234737051081
265,fit,1,0.25,3.1498829533812494,0.7874707383453123
265,note,1,0.25,3.1498829533812494,0.7874707383453123
2,app,1,0.3333333333333333,2.361425593016979,0.787141864338993
116,app,1,0.3333333333333333,2.361425593016979,0.787141864338993
